,element,count,ncif,min,max,mean,stddev,e1,e2,z1,z2
0,Ag-Ag,8618,1340,2.1992,3.1623,2.951,0.136,Ag,Ag,47,47
1,Ag-Al,85,46,2.0841,2.9176,2.615,0.258,Ag,Al,13,47
2,Ag-As,70,33,2.453,2.9737,2.633,0.089,Ag,As,33,47
3,Ag-B,43,20,2.0617,2.6504,2.494,0.152,Ag,B,5,47
4,Ag-Br,554,187,2.21,2.923,2.698,0.128,Ag,Br,35,47
5,Ag-C,6303,1276,1.8305,2.4897,2.223,0.133,Ag,C,6,47
6,Ag-Ca,37,20,2.8457,3.2316,3.14,0.073,Ag,Ca,20,47
7,Ag-Cl,934,344,2.0529,2.9182,2.62,0.168,Ag,Cl,17,47
8,Ag-Cr,1,1,2.9138,2.9138,2.914,0.0,Ag,Cr,24,47
9,Ag-Cu,207,61,2.0832,2.9587,2.777,0.142,Ag,Cu,29,47
10,Ag-F,163,64,1.8018,2.4243,2.158,0.159,Ag,F,9,47
11,Ag-Fe,12,10,2.5214,2.8766,2.638,0.084,Ag,Fe,26,47
12,Ag-Ga,11,7,2.4108,2.8135,2.583,0.124,Ag,Ga,31,47
13,Ag-Ge,68,41,2.3267,3.0181,2.64,0.153,Ag,Ge,32,47
14,Ag-H,40,25,1.3862,1.9532,1.831,0.13,Ag,H,1,47
15,Ag-K,1,1,2.9455,2.9455,2.945,0.0,Ag,K,19,47
16,Ag-Li,1,1,2.2574,2.2574,2.257,0.0,Ag,Li,3,47
17,Ag-Mg,99,36,2.5119,3.1855,2.906,0.152,Ag,Mg,12,47
18,Ag-Mn,12,6,2.5765,2.8422,2.692,0.081,Ag,Mn,25,47
19,Ag-Mo,34,12,2.7547,3.1109,2.919,0.081,Ag,Mo,42,47
20,Ag-N,15809,4472,1.7474,2.5808,2.253,0.118,Ag,N,7,47
21,Ag-Na,14,9,2.2915,3.2247,3.047,0.24,Ag,Na,11,47
22,Ag-Nb,13,10,2.7665,3.1,2.974,0.103,Ag,Nb,41,47
23,Ag-Ni,51,1,2.6602,2.9355,2.781,0.093,Ag,Ni,28,47
24,Ag-O,19230,3858,1.7013,2.8,2.485,0.173,Ag,O,8,47
25,Ag-P,2352,833,2.0181,2.7866,2.445,0.068,Ag,P,15,47
26,Ag-Pd,36,18,2.6113,3.0903,2.812,0.122,Ag,Pd,46,47
27,Ag-Rb,2,2,2.7694,2.8177,2.794,0.024,Ag,Rb,37,47
28,Ag-Ru,8,5,2.6813,2.892,2.763,0.062,Ag,Ru,44,47
29,Ag-S,9699,1354,1.9466,2.8268,2.544,0.113,Ag,S,16,47
30,Ag-Se,1422,286,2.0586,2.95,2.66,0.123,Ag,Se,34,47
31,Ag-Si,44,31,2.3608,2.8602,2.522,0.107,Ag,Si,14,47
32,Ag-V,5,5,2.9035,2.9975,2.944,0.04,Ag,V,23,47
33,Ag-Y,4,4,2.9938,3.1341,3.092,0.057,Ag,Y,39,47
34,Ag-Zn,11,7,2.6545,2.9656,2.744,0.079,Ag,Zn,30,47
35,Al-Al,20875,407,1.9687,2.7847,2.579,0.141,Al,Al,13,13
36,Al-B,185,56,1.8134,2.3587,2.221,0.097,Al,B,5,13
37,Al-C,5802,1652,1.6957,2.3004,1.999,0.067,Al,C,6,13
38,Al-F,2462,704,1.5142,2.1994,1.832,0.086,Al,F,9,13
39,Al-H,599,262,1.2482,1.7694,1.576,0.101,Al,H,1,13
40,Al-Li,8,7,1.5002,2.0893,1.711,0.177,Al,Li,3,13
41,Al-Mg,785,300,2.201,2.9971,2.879,0.083,Al,Mg,12,13
42,Al-N,4373,1643,1.6222,2.2748,1.953,0.096,Al,N,7,13
43,Al-Na,87,65,2.1307,3.0422,2.842,0.226,Al,Na,11,13
44,Al-O,42862,7960,1.3188,2.27,1.837,0.136,Al,O,8,13
45,Am-Cl,9,3,2.7131,3.0849,2.802,0.123,Am,Cl,17,95
46,Am-O,109,19,1.7356,2.635,2.426,0.165,Am,O,8,95
47,Al-As,48,15,2.3241,2.7994,2.49,0.09,Al,As,13,33
48,As-As,1556,517,1.9906,2.8203,2.472,0.113,As,As,33,33
49,As-B,96,19,1.7036,2.3829,2.145,0.121,As,B,5,33
50,As-C,3845,871,1.6769,2.1719,1.936,0.036,As,C,6,33
51,As-Ca,128,41,2.4378,3.0678,2.986,0.076,As,Ca,20,33
52,As-Cl,244,112,2.0049,2.5431,2.234,0.088,As,Cl,17,33
53,As-Co,286,78,2.2096,2.763,2.382,0.082,As,Co,27,33
54,As-Cr,131,37,2.3196,2.722,2.513,0.08,As,Cr,24,33
55,As-Cu,312,96,2.0974,2.7788,2.474,0.116,As,Cu,29,33
56,As-F,2402,287,1.4301,2.1739,1.699,0.049,As,F,9,33
57,As-Fe,766,122,2.2099,2.795,2.444,0.083,As,Fe,26,33
58,As-Ga,106,28,2.3271,2.6952,2.468,0.071,As,Ga,31,33
59,As-Ge,201,25,1.9906,2.816,2.494,0.11,As,Ge,32,33
60,As-H,27,20,1.3486,1.7908,1.511,0.13,As,H,1,33
61,As-He,1,1,2.4517,2.4517,2.452,0.0,As,He,2,33
62,As-K,5,4,2.0992,2.9277,2.679,0.309,As,K,19,33
63,As-Mg,28,20,2.5888,3.0139,2.789,0.126,As,Mg,12,33
64,As-Mn,132,62,2.2493,2.7922,2.531,0.123,As,Mn,25,33
65,As-N,334,127,1.7242,2.2738,1.893,0.092,As,N,7,33
66,As-Na,110,43,2.8141,3.066,2.984,0.049,As,Na,11,33
67,As-Ni,398,81,2.0514,2.7648,2.41,0.09,As,Ni,28,33
68,As-O,10132,1651,1.3654,2.2645,1.717,0.068,As,O,8,33
69,As-P,173,79,2.1273,2.6423,2.32,0.084,As,P,15,33
70,As-S,3298,481,1.7802,2.614,2.265,0.088,As,S,16,33
71,As-Si,93,31,2.2164,2.5848,2.354,0.058,As,Si,14,33
72,As-Ti,49,15,2.4568,2.9243,2.65,0.103,As,Ti,22,33
73,As-V,61,16,2.1243,2.798,2.551,0.125,As,V,23,33
74,As-Zn,182,75,2.2931,2.8592,2.588,0.112,As,Zn,30,33
75,Ag-Au,764,112,2.6737,3.1617,2.924,0.106,Ag,Au,47,79
76,Al-Au,177,76,2.4609,2.8684,2.588,0.068,Al,Au,13,79
77,As-Au,76,42,2.3152,2.7514,2.404,0.1,As,Au,33,79
78,Au-Au,6340,801,2.239,3.1622,2.897,0.13,Au,Au,79,79
79,Au-B,58,32,2.0265,2.547,2.294,0.12,Au,B,5,79
80,Au-Br,535,202,2.2773,2.8848,2.429,0.067,Au,Br,35,79
81,Au-C,5020,2067,1.7058,2.4846,2.03,0.072,Au,C,6,79
82,Au-Ca,134,54,2.7742,3.2328,3.122,0.097,Au,Ca,20,79
83,Au-Cd,126,25,2.6971,3.3221,2.864,0.087,Au,Cd,48,79
84,Au-Ce,27,20,3.051,3.5014,3.232,0.129,Au,Ce,58,79
85,Au-Cl,2156,1067,1.9632,2.7196,2.298,0.061,Au,Cl,17,79
86,Au-Co,60,15,2.5025,2.8698,2.694,0.08,Au,Co,27,79
87,Au-Cr,6,5,2.6291,2.9118,2.784,0.112,Au,Cr,24,79
88,Au-Cs,7,5,3.323,3.5673,3.512,0.08,Au,Cs,55,79
89,Au-Cu,371,85,2.5876,2.9616,2.781,0.096,Au,Cu,29,79
90,Au-Dy,9,9,2.5688,3.2995,2.995,0.197,Au,Dy,66,79
91,Au-Er,15,12,2.8605,3.3117,3.032,0.127,Au,Er,68,79
92,Au-Eu,54,30,3.0494,3.7383,3.329,0.145,Au,Eu,63,79
93,Au-F,308,55,1.6728,2.2873,1.937,0.078,Au,F,9,79
94,Au-Fe,4,4,2.506,2.7789,2.615,0.115,Au,Fe,26,79
95,Au-Ga,273,59,2.1393,3.0467,2.696,0.149,Au,Ga,31,79
96,Au-Gd,43,22,2.8596,3.4468,3.156,0.177,Au,Gd,64,79
97,Au-Ge,147,63,2.1248,3.0011,2.599,0.157,Au,Ge,32,79
98,Au-H,5,4,1.7955,1.8942,1.854,0.037,Au,H,1,79
99,Au-Hf,2,2,2.8206,2.9441,2.882,0.062,Au,Hf,72,79
100,Au-Ho,34,15,2.8683,3.2817,3.053,0.11,Au,Ho,67,79
101,Au-I,248,135,2.3937,3.0999,2.616,0.107,Au,I,53,79
102,Au-In,259,89,2.4672,3.2677,2.866,0.114,Au,In,49,79
103,Au-Ir,61,23,2.6197,3.0758,2.815,0.111,Au,Ir,77,79
104,Au-La,20,14,2.9963,3.5138,3.355,0.129,Au,La,57,79
105,Au-Lu,9,7,2.8428,3.2811,3.036,0.142,Au,Lu,71,79
106,Au-Mg,114,23,2.6358,3.0268,2.859,0.089,Au,Mg,12,79
107,Au-Mn,77,27,2.5412,2.9284,2.782,0.107,Au,Mn,25,79
108,Au-Mo,42,23,2.6714,3.0106,2.779,0.06,Au,Mo,42,79
109,Au-N,1762,712,1.8558,2.4217,2.038,0.056,Au,N,7,79
110,Au-Na,77,30,2.5606,3.2296,3.098,0.118,Au,Na,11,79
111,Au-Nb,11,10,2.8873,3.036,2.946,0.055,Au,Nb,41,79
112,Au-Nd,15,11,2.4986,3.4583,3.24,0.233,Au,Nd,60,79
113,Au-Ni,64,10,2.5624,2.9323,2.727,0.104,Au,Ni,28,79
114,Au-O,440,205,1.7383,2.3239,2.032,0.07,Au,O,8,79
115,Au-Os,53,25,2.6574,2.8203,2.766,0.035,Au,Os,76,79
116,Au-P,4036,1944,2.1169,2.7801,2.285,0.053,Au,P,15,79
117,Au-Pd,44,21,2.6174,3.0713,2.843,0.105,Au,Pd,46,79
118,Au-Pr,18,14,2.9483,3.3345,3.206,0.094,Au,Pr,59,79
119,Au-Pt,94,37,2.6158,3.1149,2.835,0.136,Au,Pt,78,79
120,Au-Rb,3,3,3.2749,3.3269,3.309,0.024,Au,Rb,37,79
121,Au-Re,21,9,2.7614,2.9983,2.891,0.066,Au,Re,75,79
122,Au-Rh,45,20,2.5591,3.0385,2.807,0.106,Au,Rh,45,79
123,Au-Ru,15,8,2.6816,2.828,2.75,0.041,Au,Ru,44,79
124,Au-S,3391,696,2.0681,2.7839,2.326,0.061,Au,S,16,79
125,Au-Sb,61,39,2.51,3.1414,2.73,0.159,Au,Sb,51,79
126,Au-Se,175,77,2.351,2.7339,2.45,0.056,Au,Se,34,79
127,Au-Si,60,46,2.2455,2.6372,2.461,0.085,Au,Si,14,79
128,Au-Sm,16,10,2.9383,3.442,3.155,0.156,Au,Sm,62,79
129,Au-Sn,242,76,2.5141,3.1501,2.815,0.124,Au,Sn,50,79
130,Au-Ta,3,2,2.8638,2.9342,2.905,0.03,Au,Ta,73,79
131,Au-Tb,6,6,2.9215,3.2274,3.046,0.097,Au,Tb,65,79
132,Au-Te,250,52,2.2941,3.1831,2.781,0.17,Au,Te,52,79
133,Au-Tm,8,7,2.854,3.2096,2.992,0.103,Au,Tm,69,79
134,Au-V,8,4,2.7284,2.8404,2.78,0.037,Au,V,23,79
135,Au-W,25,12,2.706,3.1045,2.817,0.085,Au,W,74,79
136,Au-Xe,5,2,2.6072,2.7498,2.713,0.053,Au,Xe,54,79
137,Au-Y,27,14,2.847,3.3746,3.033,0.144,Au,Y,39,79
138,Au-Yb,94,41,2.8896,3.4153,3.148,0.118,Au,Yb,70,79
139,Au-Zn,209,44,2.4276,3.0561,2.712,0.104,Au,Zn,30,79
140,Au-Zr,11,3,2.2679,2.5146,2.376,0.079,Au,Zr,40,79
141,B-B,90739,4064,1.3451,2.073,1.78,0.047,B,B,5,5
142,B-Br,747,203,1.7143,2.2009,1.959,0.047,B,Br,5,35
143,B-C,59691,11732,1.3064,1.9053,1.659,0.059,B,C,5,6
144,B-Cl,1692,445,1.608,2.1348,1.805,0.053,B,Cl,5,17
145,B-F,38050,6378,1.0665,1.816,1.369,0.057,B,F,5,9
146,B-H,50103,7305,0.9351,1.3452,1.102,0.061,B,H,1,5
147,B-I,270,91,2.1004,2.5008,2.177,0.056,B,I,5,53
148,B-Li,3,3,1.1708,1.5805,1.389,0.168,B,Li,3,5
149,B-N,20165,7037,1.2512,1.8424,1.537,0.056,B,N,5,7
150,B-O,30675,5358,1.1689,1.8226,1.427,0.067,B,O,5,8
151,B-P,1155,695,1.7627,2.2218,1.95,0.063,B,P,5,15
152,B-S,1051,317,1.6087,2.1633,1.905,0.07,B,S,5,16
153,Ag-Ba,1,1,2.8615,2.8615,2.861,0.0,Ag,Ba,47,56
154,Ba-Ba,43,27,2.2295,3.1748,2.853,0.284,Ba,Ba,56,56
155,Ba-Br,131,43,3.0382,3.5948,3.343,0.116,Ba,Br,35,56
156,Ba-C,2,2,2.1238,2.1238,2.124,0.0,Ba,C,6,56
157,Ba-Ca,6,5,3.0097,3.1926,3.149,0.063,Ba,Ca,20,56
158,Ba-Cd,2,2,3.2448,3.2694,3.257,0.012,Ba,Cd,48,56
159,Ba-Cl,550,159,2.3184,3.4624,3.214,0.138,Ba,Cl,17,56
160,Ba-Co,1,1,2.8314,2.8314,2.831,0.0,Ba,Co,27,56
161,Ba-Cu,11,8,2.0869,2.967,2.704,0.291,Ba,Cu,29,56
162,Ba-F,3547,372,1.9468,2.966,2.76,0.114,Ba,F,9,56
163,Ba-Fe,4,3,2.0771,2.6335,2.288,0.209,Ba,Fe,26,56
164,Ba-Ga,1,1,2.4251,2.4251,2.425,0.0,Ba,Ga,31,56
165,Ba-Ge,2,2,2.4544,2.9665,2.71,0.256,Ba,Ge,32,56
166,Ba-I,112,35,3.3447,3.7787,3.589,0.1,Ba,I,53,56
167,Ba-In,1,1,3.244,3.244,3.244,0.0,Ba,In,49,56
168,Ba-K,5,4,2.5835,3.0262,2.784,0.156,Ba,K,19,56
169,Ba-Mn,5,5,2.1139,2.91,2.456,0.28,Ba,Mn,25,56
170,Ba-Mo,1,1,2.78,2.78,2.78,0.0,Ba,Mo,42,56
171,Ba-N,2,2,1.9004,2.466,2.183,0.283,Ba,N,7,56
172,Ba-Na,2,2,2.6741,2.9329,2.804,0.129,Ba,Na,11,56
173,Ba-Nb,8,5,2.2925,3.0917,2.904,0.251,Ba,Nb,41,56
174,Ba-O,24222,4109,1.7116,3.038,2.82,0.125,Ba,O,8,56
175,Ba-P,1,1,2.6426,2.6426,2.643,0.0,Ba,P,15,56
176,Ba-Pd,1,1,2.8882,2.8882,2.888,0.0,Ba,Pd,46,56
177,Ba-S,2419,286,1.9534,3.4725,3.259,0.116,Ba,S,16,56
178,Ba-Sb,3,3,2.7398,2.9509,2.828,0.09,Ba,Sb,51,56
179,Ba-Se,3,3,2.3987,2.5946,2.526,0.09,Ba,Se,34,56
180,Ba-Si,5,3,2.6624,2.8207,2.767,0.06,Ba,Si,14,56
181,Ba-Sr,2,1,2.1871,2.1871,2.187,0.0,Ba,Sr,38,56
182,Ba-Y,4,4,3.3636,3.392,3.378,0.01,Ba,Y,39,56
183,Ba-Zn,2,2,2.3549,2.8614,2.608,0.253,Ba,Zn,30,56
184,Be-H,2,2,0.6246,0.6246,0.625,0.0,Be,H,1,4
185,Ag-Bi,6,6,2.76,3.2859,2.952,0.189,Ag,Bi,47,83
186,Al-Bi,5,5,2.7496,2.976,2.835,0.101,Al,Bi,13,83
187,As-Bi,14,7,2.7173,3.0215,2.832,0.107,As,Bi,33,83
188,Au-Bi,22,12,2.8168,3.2954,3.021,0.188,Au,Bi,79,83
189,B-Bi,13,5,2.3173,2.6592,2.489,0.128,B,Bi,5,83
190,Ba-Bi,3,3,2.8207,3.2811,2.987,0.209,Ba,Bi,56,83
191,Bi-Bi,374,135,2.4208,3.445,3.138,0.158,Bi,Bi,83,83
192,Bi-Br,871,169,2.1394,3.3766,2.91,0.217,Bi,Br,35,83
193,Bi-C,804,323,1.9305,2.6309,2.263,0.089,Bi,C,6,83
194,Bi-Ca,145,33,3.0234,3.3729,3.255,0.069,Bi,Ca,20,83
195,Bi-Cd,40,10,2.4891,3.4666,2.983,0.212,Bi,Cd,48,83
196,Bi-Ce,26,8,3.0458,3.5677,3.405,0.124,Bi,Ce,58,83
197,Bi-Cl,1832,319,2.1868,3.2271,2.772,0.209,Bi,Cl,17,83
198,Bi-Co,18,6,2.6944,3.0578,2.779,0.073,Bi,Co,27,83
199,Bi-Cr,8,2,2.6945,3.0447,2.813,0.135,Bi,Cr,24,83
200,Bi-Cu,40,20,2.1779,3.0965,2.842,0.27,Bi,Cu,29,83
201,Bi-Dy,1,1,3.5001,3.5001,3.5,0.0,Bi,Dy,66,83
202,Bi-Er,2,2,3.093,3.5055,3.299,0.206,Bi,Er,68,83
203,Bi-Eu,91,13,3.1168,3.8786,3.492,0.18,Bi,Eu,63,83
204,Bi-F,315,93,1.7928,2.6565,2.322,0.201,Bi,F,9,83
205,Bi-Fe,58,29,2.5631,3.0957,2.766,0.189,Bi,Fe,26,83
206,Bi-Ga,6,6,2.6959,3.168,2.959,0.141,Bi,Ga,31,83
207,Bi-Gd,17,7,2.852,3.4953,3.184,0.118,Bi,Gd,64,83
208,Bi-Ge,6,2,2.7327,2.9346,2.859,0.089,Bi,Ge,32,83
209,Bi-H,5,2,1.6986,2.0948,1.883,0.151,Bi,H,1,83
210,Bi-Hf,23,3,2.6114,3.4061,3.226,0.196,Bi,Hf,72,83
211,Bi-Hg,2,2,3.4625,3.4775,3.47,0.008,Bi,Hg,80,83
212,Bi-Ho,6,4,3.114,3.4986,3.308,0.126,Bi,Ho,67,83
213,Bi-I,835,134,2.7026,3.5116,3.102,0.181,Bi,I,53,83
214,Bi-In,121,16,2.7106,3.3974,3.03,0.095,Bi,In,49,83
215,Bi-Ir,17,7,2.6515,2.8694,2.773,0.068,Bi,Ir,77,83
216,Bi-La,35,12,3.1064,3.5849,3.444,0.088,Bi,La,57,83
217,Bi-Li,1,1,1.9896,1.9896,1.99,0.0,Bi,Li,3,83
218,Bi-Mg,10,9,2.8305,3.2952,3.048,0.141,Bi,Mg,12,83
219,Bi-Mn,51,31,2.6908,3.1011,2.877,0.084,Bi,Mn,25,83
220,Bi-Mo,34,10,2.8312,3.1836,2.925,0.095,Bi,Mo,42,83
221,Bi-N,761,293,1.8715,2.6066,2.392,0.147,Bi,N,7,83
222,Bi-Na,31,15,3.0784,3.3556,3.253,0.082,Bi,Na,11,83
223,Bi-Nb,14,7,2.3567,3.3004,3.146,0.235,Bi,Nb,41,83
224,Bi-Nd,4,4,3.212,3.5076,3.351,0.116,Bi,Nd,60,83
225,Bi-Ni,112,19,2.3024,3.0713,2.755,0.119,Bi,Ni,28,83
226,Bi-O,15916,1570,1.8124,2.5842,2.327,0.136,Bi,O,8,83
227,Bi-Os,22,5,2.7004,2.8367,2.771,0.041,Bi,Os,76,83
228,Bi-P,14,8,2.5894,2.9681,2.724,0.127,Bi,P,15,83
229,Bi-Pb,4,4,3.1322,3.3866,3.285,0.108,Bi,Pb,82,83
230,Bi-Pd,63,14,2.6458,3.2222,2.967,0.078,Bi,Pd,46,83
231,Bi-Pm,1,1,3.4341,3.4341,3.434,0.0,Bi,Pm,61,83
232,Bi-Pr,7,5,3.224,3.4374,3.349,0.067,Bi,Pr,59,83
233,Bi-Pt,11,11,2.6053,3.1879,2.775,0.153,Bi,Pt,78,83
234,Bi-Re,25,8,2.7032,2.9142,2.846,0.035,Bi,Re,75,83
235,Bi-Rh,25,17,2.5306,3.1647,2.736,0.203,Bi,Rh,45,83
236,Bi-Ru,22,3,2.6925,2.9479,2.767,0.07,Bi,Ru,44,83
237,Bi-S,2781,395,2.0414,2.9308,2.741,0.112,Bi,S,16,83
238,Bi-Sb,6,4,2.9042,3.321,3.008,0.146,Bi,Sb,51,83
239,Bi-Se,1051,148,2.2409,3.0898,2.881,0.119,Bi,Se,34,83
240,Bi-Si,24,12,2.5887,2.9659,2.769,0.142,Bi,Si,14,83
241,Bi-Sm,6,4,3.181,3.549,3.35,0.135,Bi,Sm,62,83
242,Bi-Sn,113,12,2.8488,3.3606,3.002,0.108,Bi,Sn,50,83
243,Bi-Sr,4,3,2.6414,3.0332,2.771,0.16,Bi,Sr,38,83
244,Bi-Tb,3,3,3.14,3.5003,3.284,0.156,Bi,Tb,65,83
245,Bi-Te,276,66,2.6981,3.3262,3.103,0.124,Bi,Te,52,83
246,Bi-Ti,4,2,2.132,2.731,2.466,0.236,Bi,Ti,22,83
247,Bi-W,14,5,2.8474,3.165,3.032,0.095,Bi,W,74,83
248,Bi-Y,5,1,3.0564,3.4,3.178,0.12,Bi,Y,39,83
249,Bi-Yb,48,7,2.9644,3.4463,3.283,0.084,Bi,Yb,70,83
250,Bi-Zn,16,5,2.4096,3.0613,2.77,0.171,Bi,Zn,30,83
251,Bk-Cl,1,1,2.4656,2.4656,2.466,0.0,Bk,Cl,17,97
252,Al-Br,299,77,2.2003,2.7028,2.305,0.063,Al,Br,13,35
253,As-Br,43,16,2.2144,2.5498,2.324,0.083,As,Br,33,35
254,Br-Br,655,236,1.8704,2.839,2.417,0.221,Br,Br,35,35
255,Br-Ca,45,23,2.7362,3.3038,3.06,0.155,Br,Ca,20,35
256,Br-Co,434,213,1.9779,2.7136,2.42,0.086,Br,Co,27,35
257,Br-Cr,59,28,2.3734,2.7364,2.5,0.069,Br,Cr,24,35
258,Br-Cu,2912,954,1.972,2.7254,2.455,0.102,Br,Cu,29,35
259,Br-Fe,757,316,2.0224,2.7422,2.421,0.09,Br,Fe,26,35
260,Br-Ga,162,50,2.226,2.6053,2.35,0.073,Br,Ga,31,35
261,Br-Ge,103,53,2.2619,2.7531,2.456,0.125,Br,Ge,32,35
262,Br-H,31,17,1.2423,1.7209,1.502,0.156,Br,H,1,35
263,Br-I,113,55,2.0809,2.9433,2.683,0.129,Br,I,35,53
264,Br-K,402,104,2.5917,3.6147,3.392,0.128,Br,K,19,35
265,Br-Li,104,48,2.023,3.1221,2.67,0.154,Br,Li,3,35
266,Br-Mg,112,66,2.4053,2.7222,2.545,0.087,Br,Mg,12,35
267,Br-Mn,427,212,2.3178,2.884,2.613,0.125,Br,Mn,25,35
268,Br-Na,105,59,2.6253,3.333,3.028,0.16,Br,Na,11,35
269,Br-Ni,970,490,1.9755,2.709,2.401,0.097,Br,Ni,28,35
270,Br-Se,204,74,2.0633,2.8043,2.511,0.145,Br,Se,34,35
271,Br-Si,128,63,2.1605,2.4846,2.274,0.075,Br,Si,14,35
272,Br-Ti,90,32,2.2795,2.8257,2.521,0.132,Br,Ti,22,35
273,Br-V,23,16,2.4828,2.6523,2.549,0.046,Br,V,23,35
274,Br-Zn,856,366,2.1683,2.7492,2.382,0.058,Br,Zn,30,35
275,Br-C,19006,10284,1.5679,2.2537,1.903,0.04,Br,C,6,35
276,C-C,8297114,304312,0.9,1.83,1.428,0.072,C,C,6,6
277,C-Cl,98849,31504,1.4432,2.0935,1.742,0.065,C,Cl,6,17
278,C-F,247195,27578,1.0401,1.7582,1.334,0.041,C,F,6,9
279,C-H,9684767,302626,0.759,1.359,0.965,0.03,C,H,1,6
280,C-I,6137,3256,1.7565,2.4741,2.098,0.048,C,I,6,53
281,C-Li,1,1,1.4629,1.4629,1.463,0.0,C,Li,3,6
282,C-N,1776972,235279,1.0311,1.7934,1.383,0.082,C,N,6,7
283,C-O,1164931,202749,1.087,1.77,1.323,0.098,C,O,6,8
284,C-P,226742,39369,1.362,2.1591,1.827,0.033,C,P,6,15
285,C-S,194934,55770,1.3607,2.1121,1.757,0.058,C,S,6,16
286,Al-Ca,133,111,2.4411,3.044,2.96,0.107,Al,Ca,13,20
287,B-Ca,14,11,2.4593,2.6119,2.573,0.039,B,Ca,5,20
288,C-Ca,94,47,1.7937,2.5597,2.483,0.102,C,Ca,6,20
289,Ca-Ca,309,206,2.2964,3.3026,3.035,0.282,Ca,Ca,20,20
290,Ca-Cl,762,266,2.134,3.1612,2.857,0.154,Ca,Cl,17,20
291,Ca-F,1520,523,2.0151,2.6088,2.353,0.095,Ca,F,9,20
292,Ca-H,14,10,1.4354,2.028,1.734,0.186,Ca,H,1,20
293,Ca-He,7,1,2.3183,2.6312,2.525,0.098,Ca,He,2,20
294,Ca-K,34,23,2.2829,3.2048,2.831,0.328,Ca,K,19,20
295,Ca-Li,2,2,2.1823,2.2776,2.23,0.048,Ca,Li,3,20
296,Ca-Mg,397,295,2.5314,3.2566,3.151,0.107,Ca,Mg,12,20
297,Ca-N,2244,542,1.9225,2.7394,2.488,0.112,Ca,N,7,20
298,Ca-Na,90,67,2.4957,3.3038,3.159,0.158,Ca,Na,11,20
299,Ca-O,50607,6939,1.757,2.86,2.463,0.154,Ca,O,8,20
300,Ca-P,30,20,2.024,2.9026,2.825,0.156,Ca,P,15,20
301,Ca-S,234,117,2.5646,3.1376,2.963,0.135,Ca,S,16,20
302,Ca-Si,217,182,2.0876,2.9618,2.88,0.153,Ca,Si,14,20
303,Ag-Cd,12,9,2.7323,3.1658,2.891,0.095,Ag,Cd,47,48
304,Al-Cd,16,10,2.2439,3.1318,2.905,0.301,Al,Cd,13,48
305,As-Cd,132,50,2.4369,3.0878,2.728,0.14,As,Cd,33,48
306,B-Cd,5,3,2.2048,2.7126,2.508,0.247,B,Cd,5,48
307,Br-Cd,776,257,2.2599,3.0597,2.673,0.111,Br,Cd,35,48
308,C-Cd,267,125,2.0016,2.6545,2.344,0.177,C,Cd,6,48
309,Ca-Cd,72,8,2.616,3.3979,3.304,0.126,Ca,Cd,20,48
310,Cd-Cd,849,261,2.4322,3.4914,3.135,0.242,Cd,Cd,48,48
311,Cd-Cl,2993,790,2.0562,2.914,2.569,0.105,Cd,Cl,17,48
312,Cd-Cu,20,8,2.5069,3.0702,2.883,0.141,Cd,Cu,29,48
313,Cd-F,161,60,1.8952,2.5898,2.295,0.096,Cd,F,9,48
314,Cd-Ga,4,3,2.5089,2.7989,2.592,0.121,Cd,Ga,31,48
315,Cd-Ge,21,14,2.5858,3.1694,2.869,0.194,Cd,Ge,32,48
316,Cd-H,17,15,1.6455,2.1132,1.929,0.115,Cd,H,1,48
317,Cd-Mg,9,7,2.9458,3.3056,3.194,0.113,Cd,Mg,12,48
318,Cd-N,14855,4561,1.9607,2.6283,2.332,0.068,Cd,N,7,48
319,Cd-Na,58,31,3.0512,3.393,3.287,0.092,Cd,Na,11,48
320,Cd-Nb,4,3,2.9805,3.2527,3.124,0.105,Cd,Nb,41,48
321,Cd-Ni,97,17,2.1707,3.079,2.839,0.174,Cd,Ni,28,48
322,Cd-O,28807,4825,1.8222,2.6077,2.335,0.098,Cd,O,8,48
323,Cd-P,124,54,2.2801,2.987,2.598,0.12,Cd,P,15,48
324,Cd-Pd,11,6,2.7798,3.2099,2.897,0.116,Cd,Pd,46,48
325,Cd-Rb,3,2,3.3456,3.4122,3.373,0.028,Cd,Rb,37,48
326,Cd-Rh,1,1,2.9313,2.9313,2.931,0.0,Cd,Rh,45,48
327,Cd-Ru,2,2,2.775,2.7862,2.781,0.006,Cd,Ru,44,48
328,Cd-S,3448,614,2.2815,2.9478,2.572,0.091,Cd,S,16,48
329,Cd-Se,493,110,2.3951,3.1095,2.648,0.092,Cd,Se,34,48
330,Cd-Si,15,10,2.4206,3.0524,2.949,0.156,Cd,Si,14,48
331,Cd-Sr,1,1,2.971,2.971,2.971,0.0,Cd,Sr,38,48
332,Cd-Ti,2,2,2.7727,2.7727,2.773,0.0,Cd,Ti,22,48
333,Cd-V,6,6,2.9372,3.1305,3.077,0.07,Cd,V,23,48
334,Cd-Y,20,6,3.0485,3.5074,3.321,0.103,Cd,Y,39,48
335,Cd-Zn,2,1,2.4061,2.4103,2.408,0.002,Cd,Zn,30,48
336,Cd-Zr,1,1,2.65,2.65,2.65,0.0,Cd,Zr,40,48
337,Ag-Ce,26,23,3.0168,3.5239,3.319,0.143,Ag,Ce,47,58
338,Al-Ce,115,46,2.9528,3.3374,3.209,0.067,Al,Ce,13,58
